,NGRAM_TFIDF_RF,DATA_LABEL,DATA_TYPE,WORD_TFIFD_RF,CHAR_NGRAM_TFIDF_RF,WC_RF,EXP,N
7,0.9600000000000001,1638,SPEAKERS,0.9600000000000001,0.9600000000000001,0.9600000000000001,TB_NONTB,572
8,0.9285714285714286,1638,SPEAKERS,0.9285714285714286,0.888888888888889,0.9285714285714286,TB_NONTB,572
9,1.0,1638,SPEAKERS,1.0,1.0,1.0,TB_NONTB,572
10,0.8181818181818181,1638,SPEAKERS,0.8799999999999999,0.7500000000000001,0.8333333333333333,TB_NONTB,572
11,0.8333333333333333,1638,SPEAKERS,0.7826086956521738,0.7826086956521738,0.9230769230769231,TB_NONTB,572
12,0.8333333333333333,1638,SPEAKERS,0.7826086956521738,0.7500000000000001,0.7500000000000001,TB_NONTB,572
13,0.9600000000000001,1638,SPEAKERS,0.9600000000000001,0.9600000000000001,0.9600000000000001,TB_NONTB,572
14,0.9090909090909091,1638,SPEAKERS,0.8571428571428571,0.8,0.9090909090909091,TB_NONTB,572
15,0.7000000000000001,1638,SPEAKERS,0.8181818181818182,0.7000000000000001,0.6666666666666666,TB_NONTB,572
16,0.7407407407407408,1638,SPEAKERS,0.8695652173913043,0.8695652173913043,0.8333333333333334,TB_NONTB,572
17,0.8695652173913043,1638,SPEAKERS,0.8695652173913043,0.8695652173913043,0.8695652173913043,TB_NONTB,572
18,0.8799999999999999,1638,SPEAKERS,0.8799999999999999,0.8799999999999999,0.8799999999999999,TB_NONTB,572
19,0.9090909090909091,1638,SPEAKERS,0.9090909090909091,0.9090909090909091,0.9090909090909091,TB_NONTB,572
0,0.5714285714285715,1676,SPEAKERS,0.7499999999999999,0.7499999999999999,0.888888888888889,TB_NONTB,197
1,1.0,1676,SPEAKERS,1.0,1.0,1.0,TB_NONTB,197
2,0.7499999999999999,1676,SPEAKERS,0.888888888888889,0.888888888888889,0.7499999999999999,TB_NONTB,197
3,1.0,1676,SPEAKERS,1.0,1.0,1.0,TB_NONTB,197
4,0.7499999999999999,1676,SPEAKERS,0.7499999999999999,0.7499999999999999,0.7499999999999999,TB_NONTB,197
5,0.8000000000000002,1676,SPEAKERS,0.8000000000000002,0.8000000000000002,0.8000000000000002,TB_NONTB,197
6,0.8000000000000002,1676,SPEAKERS,0.8000000000000002,0.8000000000000002,0.8000000000000002,TB_NONTB,197
7,0.888888888888889,1676,SPEAKERS,0.888888888888889,0.888888888888889,0.888888888888889,TB_NONTB,197
8,0.888888888888889,1676,SPEAKERS,0.888888888888889,0.888888888888889,0.8000000000000002,TB_NONTB,197
9,0.888888888888889,1676,SPEAKERS,0.888888888888889,0.888888888888889,0.888888888888889,TB_NONTB,197
10,0.888888888888889,1676,SPEAKERS,0.888888888888889,0.888888888888889,0.888888888888889,TB_NONTB,197
11,0.7499999999999999,1676,SPEAKERS,0.7499999999999999,0.7499999999999999,0.7499999999999999,TB_NONTB,197
12,0.6666666666666665,1676,SPEAKERS,0.6666666666666665,0.6666666666666665,0.6666666666666665,TB_NONTB,197
13,0.888888888888889,1676,SPEAKERS,0.888888888888889,0.8000000000000002,0.888888888888889,TB_NONTB,197
14,1.0,1676,SPEAKERS,1.0,1.0,1.0,TB_NONTB,197
15,1.0,1676,SPEAKERS,1.0,1.0,1.0,TB_NONTB,197
16,1.0,1676,SPEAKERS,1.0,1.0,1.0,TB_NONTB,197
17,1.0,1676,SPEAKERS,1.0,1.0,1.0,TB_NONTB,197
18,0.8571428571428571,1676,SPEAKERS,0.8571428571428571,0.8571428571428571,0.8571428571428571,TB_NONTB,197
19,0.8571428571428571,1676,SPEAKERS,0.8571428571428571,0.8571428571428571,0.8571428571428571,TB_NONTB,197
