,DATA_TYPE,N,DATA_LABEL,NGRAM_TFIDF_RF,EXP,WORD_TFIFD_RF,CHAR_NGRAM_TFIDF_RF,WC_RF
13,SPEAKERS,572,1638,0.9230769230769231,TB_INT,0.962962962962963,0.888888888888889,0.962962962962963
14,SPEAKERS,572,1638,0.761904761904762,TB_INT,0.8181818181818181,0.761904761904762,0.8181818181818181
15,SPEAKERS,572,1638,0.8333333333333333,TB_INT,0.9230769230769231,0.8333333333333333,0.8333333333333333
16,SPEAKERS,572,1638,0.4347826086956522,TB_INT,0.4545454545454546,0.5217391304347826,0.4545454545454546
17,SPEAKERS,572,1638,0.45454545454545453,TB_INT,0.45454545454545453,0.45454545454545453,0.45454545454545453
18,SPEAKERS,572,1638,0.8799999999999999,TB_INT,0.8799999999999999,0.8799999999999999,0.8799999999999999
19,SPEAKERS,572,1638,0.9090909090909091,TB_INT,0.9090909090909091,0.9090909090909091,0.8695652173913043
0,SPEAKERS,197,1676,0.7499999999999999,TB_INT,0.888888888888889,0.888888888888889,0.7499999999999999
1,SPEAKERS,197,1676,1.0,TB_INT,1.0,0.9090909090909091,0.9090909090909091
2,SPEAKERS,197,1676,0.7499999999999999,TB_INT,0.888888888888889,0.7499999999999999,0.888888888888889
3,SPEAKERS,197,1676,1.0,TB_INT,1.0,1.0,1.0
4,SPEAKERS,197,1676,0.7499999999999999,TB_INT,0.7499999999999999,0.888888888888889,0.7499999999999999
5,SPEAKERS,197,1676,0.8000000000000002,TB_INT,0.8000000000000002,0.8000000000000002,0.8000000000000002
6,SPEAKERS,197,1676,0.7272727272727272,TB_INT,0.7272727272727272,0.7272727272727272,0.7272727272727272
7,SPEAKERS,197,1676,0.7499999999999999,TB_INT,0.7499999999999999,0.7499999999999999,0.7499999999999999
8,SPEAKERS,197,1676,0.888888888888889,TB_INT,0.888888888888889,0.888888888888889,0.888888888888889
9,SPEAKERS,197,1676,0.888888888888889,TB_INT,0.888888888888889,0.888888888888889,0.888888888888889
10,SPEAKERS,197,1676,0.888888888888889,TB_INT,0.888888888888889,0.888888888888889,0.888888888888889
11,SPEAKERS,197,1676,0.7499999999999999,TB_INT,0.7499999999999999,0.7499999999999999,0.7499999999999999
12,SPEAKERS,197,1676,0.6666666666666665,TB_INT,0.6666666666666665,0.6,0.6666666666666665
13,SPEAKERS,197,1676,0.8000000000000002,TB_INT,0.888888888888889,0.888888888888889,0.888888888888889
14,SPEAKERS,197,1676,1.0,TB_INT,1.0,1.0,1.0
15,SPEAKERS,197,1676,1.0,TB_INT,1.0,1.0,1.0
16,SPEAKERS,197,1676,1.0,TB_INT,1.0,1.0,1.0
17,SPEAKERS,197,1676,1.0,TB_INT,1.0,1.0,1.0
18,SPEAKERS,197,1676,0.8571428571428571,TB_INT,0.8571428571428571,0.8571428571428571,0.8571428571428571
19,SPEAKERS,197,1676,0.8571428571428571,TB_INT,0.75,0.8571428571428571,0.8571428571428571
0,SPEAKERS,464,1674,0.7857142857142857,TB_INT,0.8799999999999999,0.8333333333333334,0.7826086956521738
1,SPEAKERS,464,1674,0.64,TB_INT,0.631578947368421,0.7000000000000001,0.8
2,SPEAKERS,464,1674,0.8333333333333334,TB_INT,0.8333333333333334,0.9090909090909091,0.8333333333333334
3,SPEAKERS,464,1674,0.9600000000000001,TB_INT,1.0,1.0,1.0
4,SPEAKERS,464,1674,0.9090909090909091,TB_INT,0.8571428571428572,0.8571428571428572,0.8181818181818182
5,SPEAKERS,464,1674,0.7500000000000001,TB_INT,0.7272727272727273,0.6956521739130435,0.6666666666666666
6,SPEAKERS,464,1674,0.7692307692307692,TB_INT,0.7692307692307692,0.7407407407407406,0.7826086956521738
7,SPEAKERS,464,1674,0.9565217391304348,TB_INT,0.9565217391304348,0.8695652173913043,0.8695652173913043
8,SPEAKERS,464,1674,0.7272727272727273,TB_INT,0.7368421052631579,0.7777777777777778,0.7000000000000001
9,SPEAKERS,464,1674,0.39999999999999997,TB_INT,0.25000000000000006,0.33333333333333326,0.3529411764705882
10,SPEAKERS,464,1674,0.64,TB_INT,0.64,0.5833333333333334,0.6666666666666667
11,SPEAKERS,464,1674,0.9166666666666666,TB_INT,0.8695652173913043,0.8695652173913043,0.8695652173913043
12,SPEAKERS,464,1674,0.9523809523809523,TB_INT,0.9523809523809523,0.8571428571428572,0.9523809523809523
13,SPEAKERS,464,1674,0.8148148148148148,TB_INT,0.9565217391304348,0.9565217391304348,0.9565217391304348
14,SPEAKERS,464,1674,0.7500000000000001,TB_INT,0.631578947368421,0.631578947368421,0.631578947368421
15,SPEAKERS,464,1674,0.41666666666666663,TB_INT,0.19999999999999998,0.0,0.1111111111111111
16,SPEAKERS,464,1674,0.7692307692307692,TB_INT,0.631578947368421,0.631578947368421,0.631578947368421
17,SPEAKERS,464,1674,0.4999999999999999,TB_INT,0.4999999999999999,0.5833333333333334,0.5217391304347826
18,SPEAKERS,464,1674,0.6666666666666667,TB_INT,0.6,0.6,0.6
19,SPEAKERS,464,1674,0.9090909090909091,TB_INT,0.8571428571428572,0.8571428571428572,0.8695652173913043
0,SPEAKERS,648,1675,0.8823529411764706,TB_INT,0.9375,0.8666666666666667,0.9375
1,SPEAKERS,648,1675,0.8749999999999999,TB_INT,0.9032258064516129,0.9032258064516129,0.9032258064516129
