,WORD_TFIFD_RF,NGRAM_TFIDF_RF,CHAR_NGRAM_TFIDF_RF,WC_RF,DATA_LABEL,N,EXP,DATA_TYPE
6,0.9411764705882353,0.9444444444444444,0.9411764705882353,0.9411764705882353,1641,690,TB_NONTB,SPEAKERS
7,0.8484848484848485,0.8648648648648648,0.9375,0.9142857142857143,1641,690,TB_NONTB,SPEAKERS
8,0.8387096774193549,0.8947368421052632,0.9032258064516129,0.8749999999999999,1641,690,TB_NONTB,SPEAKERS
9,0.8387096774193549,0.8749999999999999,0.8749999999999999,0.9090909090909091,1641,690,TB_NONTB,SPEAKERS
10,0.9142857142857143,0.8947368421052632,0.7333333333333334,0.8888888888888888,1641,690,TB_NONTB,SPEAKERS
11,0.8823529411764706,0.8888888888888888,0.7142857142857143,0.8484848484848485,1641,690,TB_NONTB,SPEAKERS
12,0.7999999999999999,0.7567567567567567,0.8333333333333333,0.8333333333333333,1641,690,TB_NONTB,SPEAKERS
13,0.8125,0.7777777777777778,0.7500000000000001,0.787878787878788,1641,690,TB_NONTB,SPEAKERS
14,0.8387096774193549,0.8571428571428571,0.8125,0.8823529411764706,1641,690,TB_NONTB,SPEAKERS
15,0.9696969696969697,0.9411764705882353,0.8749999999999999,0.9375,1641,690,TB_NONTB,SPEAKERS
16,0.9090909090909091,0.9696969696969697,0.8235294117647058,0.9696969696969697,1641,690,TB_NONTB,SPEAKERS
17,0.9032258064516129,0.8648648648648648,0.9696969696969697,0.8888888888888888,1641,690,TB_NONTB,SPEAKERS
18,0.7894736842105262,0.7692307692307693,0.8108108108108107,0.7567567567567567,1641,690,TB_NONTB,SPEAKERS
19,0.8823529411764706,0.9142857142857143,0.8823529411764706,0.9142857142857143,1641,690,TB_NONTB,SPEAKERS
0,0.8823529411764706,0.8717948717948718,0.9142857142857143,0.9142857142857143,1683,716,TB_NONTB,SPEAKERS
1,0.7741935483870968,0.75,0.7741935483870968,0.7741935483870968,1683,716,TB_NONTB,SPEAKERS
2,0.75,0.7368421052631577,0.7741935483870968,0.75,1683,716,TB_NONTB,SPEAKERS
3,0.9090909090909091,0.8648648648648649,0.9090909090909091,0.9090909090909091,1683,716,TB_NONTB,SPEAKERS
4,0.8125000000000001,0.8108108108108109,0.8387096774193548,0.8387096774193548,1683,716,TB_NONTB,SPEAKERS
